gmd,channel,bunch,aligned_trains,sample_n,finite_n,finite_fraction,min,p01,median,p99,max
hall,4,27,4330,4330,4330,1.0,0.049031928181648254,0.055062373280525205,0.07029414921998978,0.09832067690789703,0.19156485795974731
hall,4,28,4330,4330,4330,1.0,0.05190472677350044,0.055968496948480606,0.07031212002038956,0.09839091509580612,0.1276901513338089
hall,4,29,4330,4330,4330,1.0,0.04912905767560005,0.055007606744766235,0.0704273208975792,0.09705365881323814,0.10961410403251648
hall,5,0,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,1,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,2,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,3,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,4,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,5,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,6,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,7,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,8,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,9,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,10,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,11,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,12,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,13,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,14,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,15,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,16,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,17,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,18,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,19,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,20,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,21,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,22,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,23,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,24,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,25,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,26,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,27,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,28,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,5,29,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,0,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,1,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,2,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,3,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,4,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,5,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,6,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,7,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,8,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,9,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,10,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,11,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,12,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,13,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,14,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,15,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,16,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,17,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,18,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,19,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,20,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,21,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,22,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,23,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
